year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1926,-0.57,4.48,4.05,8.7,9.9,12.43,15.92,16.16,14.99,8.73,5.38,-1.46
1927,-0.05,-0.27,4.3,7.79,12.55,14.79,16.64,15.27,12.91,7.73,3.55,-0.73
1928,1.24,1.9,4.14,7.36,9.58,15.14,20.04,17.63,12.79,7.94,4.9,-0.58
1929,-4.93,-6.74,3.11,4.99,12.23,15.73,17.78,16.15,15.73,9.01,3.87,2.89
1930,1.58,-0.47,4.56,8,10.41,17.57,15.56,15.86,13.58,8.16,5.88,0.51
1931,-0.65,-1.52,0.75,6.38,13.85,17.22,15.84,14.32,8.82,7.1,4.75,-1.41
1932,-0.1,-4.01,1.31,5.89,10.67,13.93,15.86,18.49,15.63,8.23,3.98,0.38
1933,-3.1,-0.02,4.24,7.99,10.32,12.52,17.65,17.57,13.65,8.58,2.43,-4.42
1934,-1.05,-0.84,3.29,9.83,13.68,15.48,17.89,15.23,14.44,8.11,2.37,3.69
1935,-2.67,1.16,2.42,6.53,10.16,16.9,18.1,15.48,13.59,8.05,4.44,-0.9
1936,3.34,0.6,5.3,6.58,12.17,14.53,15.62,15.79,13.01,5.04,3.48,0.85
1937,0.77,2.85,2.58,7.16,13.48,15.92,17.26,16.46,12.33,8.44,2.83,-1.16
1938,0.33,-0.59,6.12,4.69,10.17,16.18,16.1,15.93,13.37,8.08,5.55,-1.99
1939,1.2,0.63,0.94,8.53,8.75,15.08,15.61,16.24,12.07,7.06,5.41,-1.27
1940,-5.76,-0.2,3.63,7.61,11.51,14.64,15.37,14.83,13.02,7.64,4.37,-4.49
1941,-3.44,0.51,4.12,5.8,8.25,15.52,17.99,14.88,12.07,7.1,2.55,-0.49
1942,-5.48,-4.2,4.32,7.78,11.94,15.37,16.59,16.65,14.92,10.66,1.74,0.59
1943,-0.36,1.55,5.56,8.93,12.88,14.16,17.21,18.18,13.86,10.14,2.32,0.27
1944,0.77,-2.57,0.85,9.25,11.89,14.05,16.71,19.62,12.43,7.18,3.2,-1.04
1945,-5.88,2.97,5.29,9.35,13.97,17.37,18.41,15.87,13.82,8.25,1.88,0.44
1946,-2.49,2.88,4.79,10.12,12.84,14.2,17.69,15.99,13.56,7.22,3.12,-1.8
1947,-3.6,-2.1,4.49,10.33,13.89,17.31,19.06,19.3,15.68,8.66,5.63,0.82
1948,2.84,0.97,7.08,8.45,13.2,14.44,14.34,16.01,12.82,8.93,3.78,-0.17
1949,-0.23,0.5,1.96,10.61,10.45,15.27,18.82,17.6,16.32,10.33,3.08,2.27
1950,-0.98,2.71,4.68,6.1,13.51,17.73,19.42,16.9,12.78,8.06,4.19,-2.05
1951,0.75,1.52,2.85,7.33,11.03,14.71,17.11,16.06,13.95,7.56,5.48,0.33
1952,-1.39,-1.66,4.79,9.43,12.9,16.69,19.94,17.59,10.32,7.75,2.25,-0.16
1953,-3.33,-1.32,4.48,8.67,13.35,13.95,17.11,16.59,13.97,9.64,2.81,1.81
1954,-2.85,-1.64,4.99,5.69,10.94,15.42,14.86,14.95,13.51,8.69,4.55,2.21
1955,0.09,0.07,1.62,7.77,10.9,14.89,16.53,15.64,12.53,7.07,2.31,3.18
1956,1.24,-9.21,3.53,5.84,12.23,12.75,16.16,14.24,13.99,6.75,1.47,0.35
1957,-1.87,3.52,7.38,7.59,8.99,15.39,16.71,15.14,12.33,7.94,3.62,-0.04
1958,-0.68,2.98,0.47,4.89,13.73,14.25,16.99,16.91,14.85,7.51,3.09,1.97
1959,-0.44,0.86,6.42,8.48,12.5,15.4,18.8,16.12,14.34,8.06,2.12,2.06
1960,-0.81,1.62,5.35,7.37,13.05,16.04,14.74,15.51,11.32,7.92,5.43,-0.07
1961,-0.26,4.19,5.64,10.28,10.49,15.6,15.7,15.81,16.58,9.6,3.31,1.1
1962,0.91,-0.33,0.77,7.53,9.91,14.42,16.09,17.91,13.11,8.63,1.72,-3.37
1963,-6.31,-4.72,2.47,8.46,10.94,14.68,17.69,15.02,13.49,8.25,6.68,-2.8
1964,-3,1.77,2.33,8.67,13.4,16.32,18.8,15.92,13.7,6.96,4.51,-0.92
1965,0.33,-3.26,3.13,6.02,10.99,15.4,15.19,15.09,11.23,8.09,3.13,2.33
1966,-2.48,4.92,2.77,8.95,12.33,16.26,15.16,14.78,14.19,11,1.58,1.1
1967,-0.56,1.89,4.91,6.44,11.45,14.17,18.68,16.27,12.72,10.86,3.86,-1.6
1968,-1.39,1.19,4.09,8.63,10.85,14.91,16.33,14.58,12.17,10.42,3.36,-1.02
1969,0.19,-1.63,3.24,6.87,12.77,12.88,17.75,15.49,13.8,9.25,4.24,-4.02
1970,-0.65,0.36,1.06,5.11,10.64,16.23,16.59,16.53,13.81,7.91,5.25,-1.09
1971,-2.11,-0.26,-0.05,9.89,13.25,13.42,18.31,17.6,12.37,9.21,2.25,0.67
1972,-0.54,2.66,5.57,6.7,10.8,13.65,16.26,15.45,10.2,6.81,3.93,-0.61
1973,-1.14,-0.8,2.44,4.55,12.79,15.46,16.37,17.99,14.14,7.17,3.22,0
1974,2.51,2.55,6.12,7.56,10.75,13.56,16.32,17.35,12.69,3.9,3.73,3.15
1975,2.91,1.22,2.81,7.01,11.54,13.53,17.08,16.87,15.05,7.03,3.81,-0.8
1976,0.61,0.85,2.89,7.15,12.79,17.59,18.29,15.24,11.78,9.77,3.82,-1.51
1977,0.18,3.96,6.56,5.76,10.99,14.35,16.39,15.12,11.94,9.93,4.18,1.08
1978,-0.17,-0.15,4.38,6.38,10.39,13.86,15.77,14.86,12.69,7.75,2.65,1.54
1979,-2.97,1.63,4.49,5.65,11.43,15.39,16.76,15.04,13.24,9.75,3.18,2.88
1980,-1.54,2.72,4.05,5.34,10.09,13.28,14.52,17.1,14.16,7.79,2.38,-1.26
1981,-2.28,-1.59,6.67,9,11.49,15.03,15.67,16.97,13.7,8.66,3.66,0.25
1982,0.57,0.51,3.44,6.82,12.2,15.99,18.52,16.12,15.17,8.7,5.16,2.18
1983,2.02,-1.78,4.77,8.16,9.9,16.15,21.27,17.48,14,9.1,3.1,0.75
1984,0.39,-0.81,1.82,6.63,9.25,14.55,17.35,16.45,12.21,9.49,5.78,1.21
1985,-5.4,-0.87,2.43,7.77,11.73,13.67,18.61,16.71,14.94,9.45,0.97,2.58
1986,0.32,-5.01,3.12,5.64,13.84,15.43,17.22,16.61,13.4,10.3,4.66,1.13
1987,-4.31,0.62,0.96,8.86,9.26,13.63,17.46,16.81,16.26,10.2,4.66,2.06
